,AC,coh,sex,imm,mrt,p,pp,ex60,ex65
125,60,1930,0,1,2,99,99,26.93369218605137,22.452255850003926
126,60,1930,1,0,0,99,99,20.352358069924584,16.280300987887824
127,60,1930,1,0,1,99,99,22.412261161650484,18.186209559280627
128,60,1930,1,0,2,99,99,20.668145637832897,16.5706180948034
129,60,1930,1,1,0,99,99,22.315905575786623,18.096452881440307
130,60,1930,1,1,1,99,99,24.44185005862954,20.088857059489435
131,60,1930,1,1,2,99,99,22.64277852779536,18.40116261602271
132,60,1935,0,0,0,99,99,25.055275524202678,20.668078176678065
133,60,1935,0,0,1,99,99,27.253569156649746,22.757539100693933
134,60,1935,0,0,2,99,99,25.394325715643003,20.98898010436951
135,60,1935,0,1,0,99,99,27.151395384411224,22.65998349369839
136,60,1935,0,1,1,99,99,29.393079374523982,24.809066812418976
137,60,1935,0,1,2,99,99,27.497769106198497,22.990863482121238
138,60,1935,1,0,0,99,99,20.868140816802427,16.754850424196224
139,60,1935,1,0,1,99,99,22.94674623093271,18.685077138210513
140,60,1935,1,0,2,99,99,21.187065046178827,17.049211290306918
141,60,1935,1,1,0,99,99,22.8496022274834,18.59428449966163
142,60,1935,1,1,1,99,99,24.99127038905742,20.607558526008262
143,60,1935,1,1,2,99,99,23.179118501206,18.90247161168345
144,60,1940,0,0,0,99,99,25.2591318942373,20.860959709771475
145,60,1940,0,0,1,99,99,27.462052257029093,22.95672315869317
146,60,1940,0,0,2,99,99,25.59896216321926,21.182915093821084
147,60,1940,0,1,0,99,99,27.359684670333223,22.858900797227058
148,60,1940,0,1,1,99,99,29.60520745920606,25.013318664241073
149,60,1940,0,1,2,99,99,27.70670774569403,23.190675518369066
150,60,1940,1,0,0,99,99,21.059818366525064,16.93168180771504
151,60,1940,1,0,1,99,99,23.145114699701914,18.870640804228692
152,60,1940,1,0,2,99,99,21.37986524764896,17.227495187774064
153,60,1940,1,1,0,99,99,23.047688780067656,18.77947632595975
154,60,1940,1,1,1,99,99,25.19497655189071,20.80023761457309
155,60,1940,1,1,2,99,99,23.37815017768583,19.088911514448238
156,60,1945,0,0,0,99,99,25.551491674089092,21.137910412952447
157,60,1945,0,0,1,99,99,27.76088571195925,23.242513456174855
158,60,1945,0,0,2,99,99,25.892413711076173,21.461343782238963
