,AC,coh,dis,sex,imm,mrt,p,pp,ex60,ex65
40,63,1935,0,99,99,99,99,99,25.29705937601634,20.9564031614045
41,63,1935,1,99,99,99,99,99,20.202291269735852,16.21363895268374
42,63,1940,0,99,99,99,99,99,25.46884001931148,21.118708828630055
43,63,1940,1,99,99,99,99,99,20.360531053894608,16.358514419234105
44,63,1945,0,99,99,99,99,99,25.749765597532868,21.384422683691536
45,63,1945,1,99,99,99,99,99,20.619759189312177,16.596241909952624
46,63,1950,0,99,99,99,99,99,26.03360305753127,21.653240632851478
47,63,1950,1,99,99,99,99,99,20.88222397535052,16.83742216570304
48,64,1926,0,99,99,99,99,99,23.666867081728245,19.423081510021188
49,64,1926,1,99,99,99,99,99,18.711692298299393,14.85855141517279
50,64,1930,0,99,99,99,99,99,24.322571444249842,20.03825868934484
51,64,1930,1,99,99,99,99,99,19.308739630998396,15.399142070764979
52,64,1935,0,99,99,99,99,99,24.996464675805754,20.67271175207079
53,64,1935,1,99,99,99,99,99,19.92590318637348,15.961041138528676
54,64,1940,0,99,99,99,99,99,25.16761783604944,20.83418961481923
55,64,1940,1,99,99,99,99,99,20.083192870802858,16.104721472171835
56,64,1945,0,99,99,99,99,99,25.44753871339022,21.098575243452018
57,64,1945,1,99,99,99,99,99,20.340897475707123,16.340529036703533
58,64,1950,0,99,99,99,99,99,25.730387437072014,21.36608266640767
59,64,1950,1,99,99,99,99,99,20.601860157385612,16.579811997736144
60,65,1926,0,99,99,99,99,99,24.044168664285706,19.776796625962646
61,65,1926,1,99,99,99,99,99,19.054811076913882,15.168851802609238
62,65,1930,0,99,99,99,99,99,24.7032651655412,20.39640482520018
63,65,1930,1,99,99,99,99,99,19.656958829690772,15.715807980603378
64,65,1935,0,99,99,99,99,99,25.380430754622772,21.03515939279538
65,65,1935,1,99,99,99,99,99,20.279064553857538,16.283905272344377
66,65,1940,0,99,99,99,99,99,25.552382313406756,21.197690943983808
67,65,1940,1,99,99,99,99,99,20.437563458768423,16.429107190439865
