N_fail;72235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chi2;5086.146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r(table);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_t:60.AC;_t:61.AC;_t:62.AC;_t:63.AC;_t:64.AC;_t:65b.AC;_t:1926.coh;_t:1930.coh;_t:1935.coh;_t:1940b.coh;_t:1945.coh;_t:1950.coh;_t:0b.SEX;_t:1.SEX;_t:0b.imm_d;_t:1.imm_d;_t:0b.mrt;_t:1.mrt;_t:2.mrt;_t:_cons;/:gamma;;;;;;;;;;;
b;1.163559;1.086397;1.091194;1.075804;1.118516;1;1.17941;1.105171;1.027327;1;.9621771;.9246396;1;1.769288;1;.7600022;1;.7500125;.9561835;.0057808;.1182003;;;;;;;;;;;
se;.0122486;.0143349;.0163394;.0174728;.0185325;.;.0163286;.0142115;.013306;.;.0155033;.0232728;.;.0140646;.;.0109616;.;.0065489;.0277537;.0000925;.0006747;;;;;;;;;;;
z;14.39025;6.280256;5.828331;4.498867;6.75987;.;11.91898;7.776615;2.081527;.;-2.392929;-3.112931;.;71.77709;.;-19.02746;.;-32.94508;-1.543659;-321.959;175.1807;;;;;;;;;;;
pvalue;5.96e-47;3.38e-10;5.60e-09;6.83e-06;1.38e-11;.;9.43e-33;7.45e-15;.0373857;.;.0167145;.0018524;.;0;.;1.01e-80;.;5.0e-238;.1226709;0;0;;;;;;;;;;;
ll;1.139798;1.058662;1.059635;1.042098;1.082777;.;1.147837;1.077665;1.001576;.;.932266;.8801325;.;1.741936;.;.7388187;.;.7372862;.9033055;.0056023;.1168778;;;;;;;;;;;
ul;1.187815;1.11486;1.123694;1.110601;1.155436;.;1.211852;1.133379;1.05374;.;.993048;.9713973;.;1.79707;.;.781793;.;.7629585;1.012157;.0059651;.1195227;;;;;;;;;;;
;spe1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;307055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_fail;72235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chi2;6563.682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r(table);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_t:60.AC;_t:61.AC;_t:62.AC;_t:63.AC;_t:64.AC;_t:65b.AC;_t:1926.coh;_t:1930.coh;_t:1935.coh;_t:1940b.coh;_t:1945.coh;_t:1950.coh;_t:0b.SEX;_t:1.SEX;_t:0b.imm_d;_t:1.imm_d;_t:0b.mrt;_t:1.mrt;_t:2.mrt;_t:1.p_lvl;_t:2.p_lvl;_t:3b.p_lvl;_t:4.p_lvl;_t:5.p_lvl;_t:_cons;/:gamma;;;;;;
b;1.163952;1.082739;1.0926;1.07916;1.129327;1;1.145954;1.087242;1.022441;1;.962471;.92192;1;1.978722;1;.7305996;1;.7566508;1.133791;1.314221;1.067798;1;.9241193;.8820852;.005257;.1186901;;;;;;
se;.0122618;.014289;.0163579;.0175254;.0187142;.;.0159192;.0140045;.0132434;.;.0155079;.0232046;.;.0171092;.;.0105779;.;.0065852;.0337264;.015947;.0126302;.;.0106591;.0108412;.0000956;.0006749;;;;;;
z;14.41154;6.023589;5.915226;4.691108;7.339375;.;9.807175;6.493747;1.713408;.;-2.373998;-3.22992;.;78.92743;.;-21.6798;.;-32.04096;4.221217;22.51852;5.5459;.;-6.841661;-10.20849;-288.5927;175.8525;;;;;;
pvalue;4.38e-47;1.71e-09;3.31e-09;2.72e-06;2.15e-13;.;1.05e-22;8.37e-11;.0866375;.;.0175967;.0012382;.;0;.;3.2e-104;.;2.9e-225;.0000243;2.7e-112;2.92e-08;.;7.83e-12;1.82e-24;0;0;;;;;;
ll;1.140165;1.055092;1.061005;1.045352;1.093237;.;1.115174;1.060137;.9968115;.;.932551;.8775434;.;1.945471;.;.7101586;.;.7438536;1.069578;1.283334;1.043328;.;.9034622;.8610907;.0050729;.1173672;;;;;;
ul;1.188234;1.11111;1.125135;1.114061;1.166608;.;1.177584;1.11504;1.04873;.;.993351;.9685408;.;2.012541;.;.751629;.;.7696682;1.201858;1.345851;1.092842;.;.9452487;.9035915;.0054477;.1200129;;;;;;
;spe1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;307055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_fail;72235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chi2;7695.751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r(table);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_t:60.AC;_t:61.AC;_t:62.AC;_t:63.AC;_t:64.AC;_t:65b.AC;_t:1926.coh;_t:1930.coh;_t:1935.coh;_t:1940b.coh;_t:1945.coh;_t:1950.coh;_t:0b.SEX;_t:1.SEX;_t:0b.imm_d;_t:1.imm_d;_t:0b.mrt;_t:1.mrt;_t:2.mrt;_t:1.p_lvl;_t:2.p_lvl;_t:3b.p_lvl;_t:4.p_lvl;_t:5.p_lvl;_t:0.pp_lvl;_t:1.pp_lvl;_t:2.pp_lvl;_t:3b.pp_lvl;_t:4.pp_lvl;_t:5.pp_lvl;_t:_cons;/:gamma
b;1.190298;1.10101;1.104145;1.080281;1.089272;1;1.201885;1.113391;1.026395;1;.9552532;.8564645;1;1.887753;1;.7158286;1;.8162228;1.025032;1.041865;.9484996;1;1.021202;1.010408;1.604767;1.072123;1.029518;1;.9657673;.7390304;.0045998;.1205395
se;.0126126;.0145515;.0165617;.0175567;.0180637;.;.016721;.0143503;.0132942;.;.0153938;.0215924;.;.0164484;.;.0103623;.;.0072182;.0306396;.0134168;.0114475;.;.0120474;.0128349;.0209641;.015436;.0146476;.;.0135012;.0107262;.0000933;.0006764
z;16.44021;7.280888;6.604926;4.751516;5.156386;.;13.21784;8.333605;2.011411;.;-2.840768;-6.145816;.;72.9223;.;-23.09448;.;-22.96268;.8271176;3.18475;-4.380933;.;1.778379;.8151312;36.20581;4.836932;2.044672;.;-2.491637;-20.83629;-265.4484;178.2113
pvalue;9.86e-61;3.32e-13;3.98e-11;2.02e-06;2.52e-07;.;6.92e-40;7.84e-17;.044282;.;.0045005;7.96e-10;.;0;.;5.3e-118;.;1.1e-116;.4081704;.0014488;.0000118;.;.0753417;.4149972;4.9e-287;1.32e-06;.0408872;.;.0127156;2.03e-96;0;0
ll;1.165832;1.072856;1.072157;1.046413;1.054437;.;1.169555;1.085617;1.000667;.;.9255534;.8151728;.;1.855789;.;.6958042;.;.8021974;.9667046;1.015897;.9263261;.;.9978601;.9855628;1.5642;1.042291;1.001206;.;.9396647;.7183035;.0044206;.1192138
ul;1.215276;1.129903;1.137087;1.115246;1.125258;.;1.235109;1.141876;1.052784;.;.9859062;.8998478;.;1.920268;.;.7364292;.;.8304935;1.086878;1.068496;.9712038;.;1.045089;1.03588;1.646387;1.102808;1.058631;.;.9925949;.7603553;.0047862;.1218652
;spe1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;307055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_fail;72235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chi2;11126.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
